Diseases,OTC1,OTC2,OTC3,OTC4
Urinary Tract Infections (UTIs),"Antibiotics (As prescribed by a doctor)

Dose to Take: Complete the full course of antibiotics as prescribed (e.g., Nitrofurantoin 100 mg twice daily for 5-7 days).
Alternate Medicines:
Cranberry Supplements – 500 mg twice daily may help prevent future UTIs.
D-Mannose – Take 500 mg daily as an adjunct to prevent UTIs.","Hydration

Dose to Take: Drink plenty of fluids (at least 8-10 cups per day) to flush bacteria out of the urinary system.
Alternate Medicines:
Herbal Teas (Uva Ursi, Marshmallow Root) – Drink these herbs known for supporting urinary tract health.
Water with Lemon – Drink lemon water to help flush the urinary system.","Probiotics

Dose to Take: Take a daily dose of probiotics (such as Lactobacillus) to restore healthy bacteria in the urinary tract.
Alternate Medicines:
Yogurt with Active Cultures – Consume daily to support gut and urinary tract health.
Kefir – A probiotic-rich drink that can also help balance the gut microbiome.","Pain Relief (Phenazopyridine)

Dose to Take: Take 100-200 mg of phenazopyridine (Azo) up to 3 times daily to relieve pain, burning, and urgency.
Alternate Medicines:
Ibuprofen – Take 200-400 mg for pain relief (be mindful of kidney function with frequent use).
Acetaminophen – Take 500-1000 mg to reduce discomfort associated with UTIs."
Vaginal Dryness (Mild),"Water-Based Lubricants (KY Jelly)

Dose to Take: Apply as needed for lubrication.
Alternate Medicines:
Aloe Vera Gel – Apply to the vaginal area as needed.
Vitamin E Oil – Apply a small amount to the affected area.","Vaginal Moisturizers (Replens)

Dose to Take: Insert one applicator into the vagina every 3 days.
Alternate Medicines:
Sylk Natural Lubricant – Apply as needed for lubrication.
Coconut Oil – Apply to the vaginal area for moisturizing.","Vitamin E Suppositories

Dose to Take: Insert one suppository into the vagina before bedtime.
Alternate Medicines:
Aloe Vera Gel – Apply externally.
Hyaluronic Acid Gel – Use as directed for hydration.","Lubricant Gel (Astroglide)

Dose to Take: Apply liberally as needed during intercourse.
Alternate Medicines:
Lubrin Gel – Use as required.
Sliquid H2O – Apply a small amount as needed."
Vaginal Infections (Non-severe),"Clotrimazole (Canesten)

Dose to Take: Insert one tablet vaginally for 3-7 days.
Alternate Medicines:
Miconazole (Monistat) – Use as directed for 3-7 days.
Tioconazole (Vagistat) – Apply for 1 day.","Vaginal Probiotics (FemDophilus)

Dose to Take: Take one capsule daily.
Alternate Medicines:
Lactobacillus Supplements – Take as directed.
Boric Acid Suppositories – Insert one suppository for 7 days.","Tea Tree Oil (Diluted)

Dose to Take: Apply a few drops diluted with coconut oil externally.
Alternate Medicines:
Garlic (Raw or Supplements) – Take daily for its antimicrobial properties.
Oregano Oil – Take in capsule form as per the dosage instructions.","Hydrogen Peroxide (3%)

Dose to Take: Dilute with water (1:1) and use as a wash externally.
Alternate Medicines:
Apple Cider Vinegar – Use diluted in water for external application.
Coconut Oil – Apply externally for its antifungal properties."
Varicose Veins (Minor Symptoms),"Compression Stockings (Jobst)

Dose to Take: Wear throughout the day.
Alternate Medicines:
Bioflavonoid Supplements (Diosmin, Hesperidin) – Take as directed.
Horse Chestnut Extract – Take as directed for vascular health.","Arnica Gel or Cream

Dose to Take: Apply topically twice a day.
Alternate Medicines:
Witch Hazel – Apply to affected area for soothing.
Butcher's Broom Extract – Take as directed.","Venastat (Hesperidin & Diosmin)

Dose to Take: 1 capsule twice daily with meals.
Alternate Medicines:
Grape Seed Extract – Take 1-2 capsules daily.
Citrus Bioflavonoid Complex – Take as directed.","Vitamin E Oil

Dose to Take: Apply directly to the skin for softening and reducing symptoms.
Alternate Medicines:
Aloe Vera Gel – Apply to soothe and moisturize.
Coconut Oil – Use as a natural moisturizer."
Varicose Veins (Non-complicated),"Compression Stockings

Dose to Take: Wear throughout the day.
Alternate Medicines:
Horse Chestnut Extract – Take 1-2 capsules per day.
Grape Seed Extract – Take 1-2 capsules per day.","Witch Hazel

Dose to Take: Apply directly to the veins twice daily.
Alternate Medicines:
Aloe Vera Gel – Apply to soothe and cool.
Vitamin E Oil – Apply to the skin for healing.","Magnesium Supplements

Dose to Take: 200-400 mg per day.
Alternate Medicines:
Omega-3 Fatty Acids (Fish Oil) – Take as directed.
Vitamin C – Take 500-1000 mg daily for vascular health.","Diosmin Supplements

Dose to Take: 1-2 capsules per day.
Alternate Medicines:
Pycnogenol – Take 1-2 capsules daily.
Ginkgo Biloba – Take as directed for circulation."
Vertigo (Mild),"Meclizine (Dramamine)

Dose to Take: 25-50 mg once or twice a day.
Alternate Medicines:
Ginger Supplements – Take as directed for nausea and vertigo.
Dimenhydrinate – Take 50-100 mg every 4-6 hours."," Ginger Capsules (Nature’s Way)

Dose to Take: Take 500 mg 1-2 times a day.
Alternate Medicines:
Peppermint Tea – Drink up to 2 cups daily.
Vitamin D3 Supplements – Take as directed for balance support.","Antihistamines (Benadryl)

Dose to Take: Take 25-50 mg as needed for vertigo symptoms.
Alternate Medicines:
Caffeine – A cup of coffee may help to alleviate symptoms.
Vitamin B6 – Take 25-50 mg daily for dizziness prevention.","Vestibular Rehabilitation Exercises

Dose to Take: Perform exercises as recommended by a healthcare professional.
Alternate Medicines:
Acupressure – Use wristbands for motion sickness.
Peppermint Oil – Apply topically for nausea relief."
Viral Fever (Mild),"Acetaminophen (Tylenol)

Dose to Take: Take 500-1000 mg every 4-6 hours, not exceeding 4000 mg per day.
Alternate Medicines:
Ibuprofen (Advil) – Take 200-400 mg every 4-6 hours.
Aspirin – Take 325-650 mg every 4-6 hours (if over 18).","Paracetamol (Panadol)

Dose to Take: 500 mg every 4-6 hours as needed, up to 4000 mg per day.
Alternate Medicines:
Cold and Flu Tablets (Sudafed, Theraflu) – Follow label directions for symptom relief.
Ginger Tea – Drink up to 2 cups daily to support immunity.","Vitamin C (Emergen-C)

Dose to Take: Take 1000 mg per day for immune support.
Alternate Medicines:
Echinacea Supplements – Take as directed for immune health.
Zinc Lozenges – Take 10-15 mg per day.","Hydration Solutions (Pedialyte)

Dose to Take: Drink 1-2 liters per day to stay hydrated.
Alternate Medicines:
Coconut Water – Drink 1-2 cups per day to replenish electrolytes.
Oral Rehydration Salts – Mix with water as directed."
Viral Infections (Common Cold),"Zinc Lozenges (Zicam)

Dose to Take: Take one lozenge every 2-3 hours during the day, up to 6 lozenges.
Alternate Medicines:
Vitamin C (Emergen-C) – Take 1000 mg per day.
Honey and Lemon Tea – Drink 1-2 cups per day for soothing effects.","Decongestants (Sudafed)

Dose to Take: Take 30-60 mg every 4-6 hours as needed for nasal congestion.
Alternate Medicines:
Saline Nasal Spray – Use 2-3 times daily for nasal relief.
Eucalyptus Oil – Inhale steam for congestion relief.
d allergies.
Cetirizine (Zyrtec) – Take 10 mg once a day for relief.","Antihistamines (Benadryl)

Dose to Take: 25-50 mg every 4-6 hours for cold symptoms like sneezing.
Alternate Medicines:
Loratadine (Claritin) – Take 10 mg once a day for cold-relate","Mentholated Ointment (Vicks VapoRub)

Dose to Take: Apply to the chest and throat before bedtime.
Alternate Medicines:
Eucalyptus Oil – Use in steam for congestion relief.
Peppermint Oil – Apply to the forehead for headache relief."
Vomiting,"Meclizine (Dramamine)

Dose to Take: 25-50 mg before travel or as needed for nausea.
Alternate Medicines:
Dimenhydrinate (Dramamine)
Dose: 50-100 mg every 4-6 hours as needed.
Ginger Tablets – Take 500-1000 mg for nausea relief.
","Ondansetron (Zofran)

Dose to Take: 4-8 mg every 8 hours, as needed.
Alternate Medicines:
Acupressure Wristbands – Wear during travel to prevent motion sickness.
Peppermint Oil – Inhale or apply diluted on the chest for nausea relief.
","Pepto-Bismol

Dose to Take: 1-2 tablets every half hour for up to 8 doses per day.
Alternate Medicines:
Activated Charcoal – Take 1-2 capsules for nausea.
Bismuth Subsalicylate – Follow label instructions for nausea and vomiting."," Ginger Capsules (Nature’s Way)

Dose to Take: 500 mg 1-2 times a day for nausea relief.
Alternate Medicines:
Chamomile Tea – Drink 1-2 cups per day.
Fennel Seeds – Chew for digestive comfort."
Vomiting due to Motion Sickness,"Dimenhydrinate (Dramamine)

Dose to Take: 50-100 mg 30 minutes before travel.
Alternate Medicines:
Meclizine (Bonine) – Take 25-50 mg before travel.
Ginger Capsules – Take 500 mg 1 hour before travel.
","Scopolamine Patches

Dose to Take: Apply 1 patch behind the ear at least 4 hours before travel.
Alternate Medicines:
Acupressure Wristbands (Sea-Band) – Wear during travel for relief.
Peppermint Oil – Inhale for nausea relief.
","Anti-Nausea Tablets (Nauzene)

Dose to Take: Take 1 tablet every 15-30 minutes for nausea relief.
Alternate Medicines:
Caffeine – Drink a small amount to alleviate symptoms.
Lemon – Sip lemon juice or lemon tea for nausea.
","Ginger Tea

Dose to Take: Drink 1-2 cups before or during travel.
Alternate Medicines:
Peppermint Tea – Drink 1-2 cups daily.
Lemon Balm – Drink as a soothing tea for nausea."
Vomiting in Children (Minor),"Oral Rehydration Solutions (Pedialyte)

Dose to Take: Administer 1-2 teaspoons every 5 minutes during vomiting episodes.
Alternate Medicines:
Ginger Root Tea – Small sips for nausea relief.
Zofran (Ondansetron) – Consult a doctor for dosage based on the child’s age.
","Dimenhydrinate (Dramamine) – Child Formula

Dose to Take: Follow the dosage instructions based on child’s age.
Alternate Medicines:
Acupressure Wristbands – Wear for nausea relief.
Lemonade or Coconut Water – Offer small sips for hydration.
","Hydrocortisone Cream (For Skin Irritations from Vomiting)

Dose to Take: Apply a thin layer to affected skin areas 1-2 times per day.
Alternate Medicines:
Aloe Vera Gel – Apply for soothing irritation.
Petroleum Jelly – Use for moisturizing and protecting skin.
","Chamomile Tea

Dose to Take: Offer small sips of chamomile tea for soothing.
Alternate Medicines:
Fennel Tea – Offer for digestive comfort.
Peppermint Tea – Serve as an alternative to calm nausea."
Weak Hair Roots,"Biotin Supplements

Dose to Take: 1000-5000 mcg daily.
Alternate Medicines:
Vitamin E Oil – Apply directly to the scalp for nourishment.
Saw Palmetto – Take 320 mg daily for hair health.
","Castor Oil

Dose to Take: Massage into the scalp twice a week.
Alternate Medicines:
Coconut Oil – Apply to the scalp and hair for moisture.
Aloe Vera Gel – Apply directly to the scalp to strengthen hair.
","Hair Growth Shampoos (Nioxin)

Dose to Take: Use as directed, typically 2-3 times per week.
Alternate Medicines:
Minoxidil (Rogaine) – Apply to the scalp twice daily.
Rosemary Oil – Massage into the scalp for improved circulation.
","Collagen Supplements

Dose to Take: 2.5-15 grams daily, depending on the product.
Alternate Medicines:
Keratin Supplements – Take as directed for hair strengthening.
Marine Collagen – Take daily for hair growth support."
Weak Nails,"Biotin Supplements

Dose to Take: 5000 mcg daily.
Alternate Medicines:
Vitamin E Oil – Apply to nails for strength.
Collagen Peptides – Take daily for stronger nails.
","Nail Strengtheners (Sally Hansen Hard as Nails)

Dose to Take: Apply to nails as a base coat and top coat.
Alternate Medicines:
Olive Oil – Massage into nails to moisturize and strengthen.
Coconut Oil – Apply to nails for nourishment.
","Calcium Supplements

Dose to Take: 500-1000 mg daily.
Alternate Medicines:
Zinc Supplements – Take 10-25 mg daily for nail health.
Iron Supplements – Take 18 mg daily to support nail growth.
","Hydrocortisone Cream

Dose to Take: Apply to nails and surrounding skin for minor irritation.
Alternate Medicines:
Aloe Vera Gel – Apply to nails for soothing and strengthening.
Tea Tree Oil – Apply to nails to promote healthy growth."
Wheezing (Mild),"Salbutamol (Ventolin) Inhaler

Dose to Take: 1-2 puffs as needed for wheezing.
Alternate Medicines:
Ipratropium Bromide (Atrovent) – Use as directed for wheezing relief.
Montelukast (Singulair) – Take one tablet daily as prescribed.
","Nasal Decongestants (Afrin)

Dose to Take: Use for 3 days as directed to relieve congestion.
Alternate Medicines:
Pseudoephedrine (Sudafed) – Take 30-60 mg every 4-6 hours.
Diphenhydramine (Benadryl) – Take 25-50 mg for relief.
","Eucalyptus Oil

Dose to Take: Inhale steam or apply to the chest for relief.
Alternate Medicines:
Peppermint Oil – Use in a diffuser or apply diluted to the chest.
Mentholated Ointment (Vicks VapoRub) – Apply to chest for soothing effects.
","Bronchodilator Tablets (Theophylline)

Dose to Take: Follow dosing instructions as per the prescription.
Alternate Medicines:
Guaifenesin (Mucinex) – Use for chest congestion and wheezing relief.
Magnesium Supplements – Take to help relax airways."
White Patches on Tongue,"Antiseptic Mouthwash (Listerine)

Dose to Take: Use 20 ml twice a day after meals.
Alternate Medicines:
Chlorhexidine Gluconate Mouthwash – Use 15 ml twice a day.
Salt Water Rinse – Gargle with warm salt water 2-3 times a day.
","Antifungal Mouth Rinse (Mycostatin)

Dose to Take: Swish 4-5 ml in the mouth for 2 minutes, 4 times a day.
Alternate Medicines:
Hydrogen Peroxide Rinse – Mix 3% hydrogen peroxide with water for gargling.
Coconut Oil Pulling – Swish 1 tablespoon of coconut oil in the mouth for 10-15 minutes.
","Vitamin B12 Supplements

Dose to Take: Take 1000 mcg daily.
Alternate Medicines:
Folic Acid Supplements – Take 400 mcg daily for tongue health.
Iron Supplements – Take if iron deficiency is suspected.
"," Probiotics (Culturelle)

Dose to Take: Take one capsule daily to support oral health.
Alternate Medicines:
Probiotic Yogurt – Consume daily for gut and oral health.
Lactobacillus Supplements – Take daily for oral flora balance."
